id,ja
66,彼は「おつりはいいです」と言って、急いでタクシーを降りた。
67,当店のお客様は､わずかな追加料金で配達サービスをご利用できます。
68,「これは僕のおごり。」 「だめよ。外食のときはいつもおごってもらっていいるし。」 「うーん、わかった。じゃあ割り勘にしよう。」
69,ショッピングセンターをぶらぶらしていたら、偶然ケンに会った。
70,現金が足りなかったので、先週口座に入れた1000ドルを引き出した。
71,彼女は帰宅途中にハンドバッグを盗まれた。
72,「それは変だわ。どうしてそんなことが起きたのか教えて。」 「後で説明するよ。」
73,私が約束を破ったので、罰として両親に門限を６時にされた。
74,諺にある通り、「嘘も方便 （目的が手段を正当化する）」。
75,誰も頼れる人がいないとわかったのだから、自分の力でやっていくしかない。
76,議長は私の話を遮って、「話し合いはここまでにして決を採りましょう。」と言った。
77,我々は会議で率直な意見を交わしたが、この件に関してはまだ全体の意見がまとまらない。
78,「あなたは彼と同じ意見？ それとも違うの？」「彼のほうを支持するよ。」
79,厳密に言えば、彼の見解は私のものとはいくらか異なる。
80,もう一度詳しく説明していただけませんか？ お話の意図がわかりませんでした。
81,僕の案を支持してくれる人は最初は誰もいなかったけれど、最後にはみんなを説得して賛同してもらうことができた。
82,君の不屈の努力、勇気、そして知恵には感心するよ。」「お世辞でもうれしいわ！」
83,どうするかを決めるとき、僕は論理ではなく本能を当てにする。
84,彼は独創的かつ賢明な解決策を考え出し、直ちにそれを実行に移した。
85,客観的に見れば、前者は後者よりも劣っている。
86,あなたの考えは理論上はすばらしそうだけれども、実際には機能しないと思います。
87,私たちは彼が相手に勝つことを期待したが、彼はその期待に応えられなかった。
88,皮肉なことだが、彼らの最善の努力にもかかわらず、任務は完全な失敗に終わった。
89,実地経験の不足は彼女の天賦の才能で補える。
90,彼女にはどんな障害をも克服できるすばらしい能力がある。
91,あなたの強固な支援がなかったら、その取引は成立しなかったでしょう。感謝しています。
92,機内への可燃物の持ち込みは禁止されています。
93,ちょっとした事故が原因で、私たちのウィーン行きの便に遅れが出た。
94,飛行機が爆発して海に墜落し、乗っていた全員が死亡した。
95,彼らは昼夜休むことなく、その墜落事故の原因を調査している。
96,不幸にも、その大惨事で生き残った乗客はほとんどいなかった。
97,航空評論家が統計を詳細に分析した。
98,全従業員を代表いたしまして、犠牲者の方々に対してお悔やみを申し上げたいと存じます。
99,ある意味、その惨事の責任は彼にある。
100,車両は欠陥がないか3ケ月に1度検査される。
101,うちの光熱費がそんな額になっているのを知ってびっくりした。
102,｢水道の栓を閉めなさい！｣とお母さんがかんかんになって叫んだ。
103,食べ物が腐らない様にふたをしっかり閉めなさい。
104,｢ハサミを貸してもらえる？」「もちろん。はいどうぞ｡」
105,針と糸の代わりに透明な接着剤を使っても結構です｡
106,この織物を染めたら縮んでしまった。
107,この革のジャケットは処分するよ。両肘の部分がすり減って穴があいているから。
108,その混ぜ合わせたものに小麦粉を加えて、とろみがつくまでかき混ぜましょう。
109,「残り物をどうしよう？」 「とりあえず冷蔵庫に入れておいて。 後で電子レンジで温め直すよ。」
110,新しいパソコンに全額つぎ込むこともできたが、考え直して、まさかの時のために多少は残しておくことにした。
111,携帯電話はちょっとした必需品になったことだし、それなしではやっていけない。
112,イスにゆったり座ってくつろいだ途端、妻に雑用を頼まれた。
113,彼女は赤ちゃんを寝かせて自分も隣に横になった。
114,ここにある物を片付けなさい。邪魔よ。
115,子供たちが恐竜ごっこをしていたら、お母さんに叱られた。
116,彼が棚にぶつかり、とても高価な陶磁器が落ちて粉々に割れてしまった。
117,「うちの子たちをちょっと見ててもらえる？ケンを迎えに行かないといけないの｡」「いいよ｡」
118,隣の家の人が庭をめちゃくちゃにされたと、私たちにがみがみ説教した。
119,ドリーはあらゆる面でお姉さんにそっくりだ。二人を見分けることはできないよ。
120,慨して、双子には似たところが多い。
121,皿洗いとか洗濯とか、そういうことにはもううんざり！
122,時間があいたときの一番の楽しみは浜辺の散歩です。気持ちいいですよ。
123,「私、もうくたくた。日陰で休憩しましょう｡」「そうだね｡」
124,「ボブ、この自動販売機、故障してるわ｡」「何だって！喉が乾いて死にそうだよ！」
125,彼は空腹と疲労で気を失ったが、しばらくして意識を取り戻した。
126,たった一つの家具を除けば、講堂はがらんどうだった。
127,家賃が安ければ、どんなマンションでも構いません。こだわりはありませんから。
128,彼の60歳のいとこが湖畔の不動産を相続した。
129,雑談はこの辺にして、本題に入りましょう。
130,ルーシーは、契約書にサインさせようとする強引な販売員に腹を立てた。
131,私たちの株式投資への意欲をそぐような要因がかなりある。
132,日本は様々な原料を輸入し、工業製品を輸出している。
133,経済発展の過程で、日本はその伝統的価値観を捨ててきた。
134,世界はかつてない危機に直面している。
135,要するに、その規制の目的は国内産業の保護だ。
136,世界での競争力を維持するためには、日本は大幅な規制緩和に真剣に着手しなければならない。
137,危機にさらされ、わらにもすがる思いでいる人々を、私たちは放っておけない。
138,議会は発展途上国に財政援助を行うことを決議した。
139,英国の君主制は廃止されるべきだと言う人もいるけど、あなたはどう思う？
140,彼らは攻撃を逃れる安全な場所を探したが、隠れる場所はどこにもなかった。
141,軍縮において、両国が大きな進展を遂げる見込みはほとんどない。
142,交渉は進行中だ。そろそろ正念場を迎えるだろう。
143,奴隷たちは自分たちの運命を変えたいと切望していた。
144,貴族たちは思うがままに特権を乱用した。
145,結局、革命それ自体は何の成果ももたらさなかった。
146,ボブが「それには反対だ！」と言って会話に割り込んできた。けれども、誰も耳を貸さなかった。
147,私たちは彼の順番をわざと飛ばした。
148,誰かがいじめられているのを見たのに、彼は見ないふりをした。
149,ニックと僕がテストでカンニングしたとき、僕は停学処分。ニックの方はまんまと逃れた。
150,彼らはリチャードの富と地位に対する嫉妬から、彼に敵意を抱いている。
151,彼のことは大嫌い。まるで自分が大物であるかのように振る舞うのよ。
152,僕たちがほめ言葉をかけたのに、彼は顔をしかめてそっぽを向いた。失礼だ！
153,その莫大な財産は自分が自由にできるものだ、と彼は主張した。
154,頑固になればなるほど孤立するよ。
155,「遠回しな言い方はやめてくれ！僕にどうしろって言うんだ？」 「慌てずに待つしかありません。時が経てばわかります。」
156,課題は電子メールで6月10日の午後5時までに提出して下さい。
157,ジョーが勤勉なんてとんでもない。だからまた数学を落としたんだ。
158,彼の論文は意味不明。第一、主題が曖昧だ。
159,彼の小論文は簡潔で要領を得ていた。
160,「この複雑な問題をどう処理するつもり？｣ ｢任せとけって。朝飯前さ。」
161,「ニック、これを提出する前にざっと目を通して欲しいの。」 「ごめん、今、手が離せないんだ。」
162,「締め切りに間に合わなかったらどうなる？」 「きっと彼に怒られるぞ！」
163,字が汚いことを別にすれば、君の要約は完壁だ。
164,その前提が妥当かどうかよく考えるべきだ。
165,とりわけ、科学用語には厳密な定義が要求される。
166,何よりもまず、公式を暗記しなさい。
167,体積を計算する場合は、縦と横と深さを掛けます。
168,樽の底にとても小さなひびがあるのを見つけた。
169,この章では幾何学の概念に焦点をあてます。
170,フィルは実用的な技能よりも学問的なテーマのほうに興味がある。
171,｢この顕微鏡、どこかおかしくなっちゃった。修理してもらわないと。」 「見せて。僕が直せるかも。」
172,「インストゥルメントって何ですか？」「例えば、温度計や気圧計とかの計器がそうです。」
173,その微粒子は肉眼でもかろうじて見える。
174,筋肉組織はおびただしい数の細胞から成っている。
175,この物質は主に水素と酸素でできている。
176,正確な気温はセ氏22.68度です。
177,「ナオミは自分の完壁なスタイルをひけらかしたがる。私も彼女みたいに痩せていればなあ。彼女が羨ましいわ。｣ ｢ダイエットすれば。」
178,ナオミに一目惚れした。３ケ月後、思い切って彼女にプロポーズしてみたが振られてしまった。
179,偶然その人に出会ったの。優しくて頭もいいの。おまけに独身！
180,彼の甥は、謙虚で思いやりのある人になるように育てられた。
181,私の両親にボブを紹介したら、二人ともすぐに彼のことが好きになった。
182,人は外見ではなく、むしろ中身で判断されるべきだ。
183,「大切なのは肩書きなんかじゃない。絶対そうだ！」と、ボブは語気を強めて言った。
184,自分の力で成功をつかんだ人が言ったように、「先見の明のある人は最後には成功する」。
185,若さが永遠のものではないことを忘れてはいけない。
186,いったいなぜみんながそれ程までにボブを軽蔑するのか、僕にはわからない。
187,彼のことを笑わずにはいられない。ばかな間違いを繰り返すからね。きっと彼は懲りないんだろうな。
188,さらに厄介なことに、彼は私たちに迷惑をかけていることさえわかっていない。
189,慌てていたから、手袋を間違えて裏返しにはめてしまった。
190,デイブはデブでドジ。浅い小川を飛び越えた時に、つまずいて足首を捻挫したんだ。
191,「僕、高所恐怖症なんだ。」 「弱虫っ！」
192,消極的なその男性が、人前で自己表現をすることはまずない。
193,迷信はすべて根拠のないものだということが、ニックに言われてよくわかった。
194,注射のことを考えると、怖くて震えてしまう。
195,ボブは根が怠け者だから、与えられた仕事をしばしば怠る。
196,ボブが働いている間、ジェニファーは家でくだらないメロドラマに夢中になっていた。
197,ボブはマンガ好きだけど、僕にはそれほどいいものとは思えない。実際、つまらないよ。
198,彼が私の目を見ようとしなかったので、何かを隠していると思った。
199,彼女は我慢しきれなくなり、襟首をつかんで彼をののしった。
200,確かに、私たちは時々口げんかもしますが、普段は仲良くやっています。
201,「君の家に寄ってもいいかい？」 「もちろんいいわよ。気兼ねなく！」
202,ちょっと待ってて。すぐ戻るから。切らないでよ！（電話で）
203,うちには泊められないわ。一つには、時々お父さんがふらっとやって来るから。
204,ジェニファーがじっと立っている間、ボブは歩道を行ったり来たりしていた。
205,「仲直りしようよ、リサ。」 「私がいて当然だなんて思わないで。私たち、今度は永遠に終わりよ。本気なんだから！」
206,おい！リサ、そう感情的になるなよ。君を傷つけるつもりじゃなかったんだ。じっくり話し合おう。
207,「私を裏切ったわね！」 「許してくれよ。どうしたら埋め合わせができるかなあ？」 「仕返ししてやるっ！」
208,自分の罪は隠しておかずに告白したほうがいい。
209,約束は守りなさい。そうしないと評判を落としますよ。
210,ボブは自分の道徳的信条を曲げない男だ。正直でいれば最後には報われると信じている。
211,「元気を出して。仕方ないわ。」 「やれるだけのことはやったんだ。」 「わかってる。過ぎたことにくよくよしないで。やり直せるわよ！」
212,「ジェーン、タイムズ・スクェアーまで乗せて行って欲しいんだけど。」 「そうしてあげたいのは山々だけど。今、全然時間がないの。」
213,いつものように、マイクは時間通りに現れた。本当に時間に正確な人だ。」
214,この前、混雑した幹線道路の真ん中でガス欠してしまった。
215,私の前を走っていたトラックがスリップして横転し、積み荷を路面いっぱいに散乱させた。
216,衝突を避けられたのは運が良かっただけ、と彼は回想した。
217,緊急の際には、すぐに私の代理人と連絡を取って下さい。
218,「ジェーン、俺たちはどこに向かってるんだ？」 「迷ったみたい。違う方向に来ちゃったわ。」 「何だよ。車を止めてくれ！」
219,僕のさびついたフォードが故障して、交差点をふさいでしまった。
220,表面に細かい傷やへこみがたくさんあるから、磨いても無駄だよ。
221,「おい、渋滞にはまっちゃったよ！」 「熱くならないで、ジョー。近道しましょう。時間までには着けるわ。」
222,「パンクしちゃったよ。手を貸してくれる？」 「喜んで。」
223,ハンドルがきかなくなった救急車が、危うく歩行者をひきそうになった。
224,火星にはかつて原始的な生物が存在していたと彼は力説している。
225,乗組員たちは宇宙への航海の準備に忙しい。
226,彼らは無重力状態で一連の実験をおこなった。
227,多くの天文学者は、宇宙は無限に膨張を続けていくものと考えている。
228,宇宙飛行士たちは自然と沸き起こった拍手で迎えられた。
229,滅亡の危機に瀕した地球を守ろうと、ある基金が設立された。
230,大洪水で現地の交通網が麻痺した。
231,赤道は地球を二つの半球に分ける。
232,毛皮のコートのために動物を罠で捕獲するのは残酷なことだ。
233,その団体は野生動物の保護において、最も重要な役割を果たしている。
234,多くの弱い生物種が絶滅の危機に瀕している。
235,長引く干ばつが収穫に甚大な被害をもたらした。
236,熱帯雨林の消滅が地球規模で急速に進んでいます。その原因の一つは酸性雨です。
237,地球温暖化は、二酸化炭素の排出と直接の関係があると言われている。
238,オゾン層の破壊は環境に影響を及ぼす。
239,委員会は、大気汚染を抑制するために互いに協力し合うよう各国に要請した。
240,溶け続ける氷河を監視するために、人工衛星が軌道に打ち上げられた。
241,石油は天の恵みであると同時に災いのもとであると、その生態学者は我々に繰り返し警告してきた。
242,その大陸は化石燃料が豊富だ。
243,その地域は鉱物資源が比較的豊かだ。
244,小麦はこの地域の農業生産高のおよそ3分の2を占めている。
245,良い収穫を得るためには、肥沃な土壌が不可欠だ。
246,湿気の多い気候はその半島の特色です。
247,その活火山は周期的に噴火する。
248,パナマ運河は大西洋と太平洋をつないでいる。
249,ここの地理的特徴は、私たちの県のそれと似ている。
250,たいてい、飢饉になると疫病も発生する。
251,壊滅的規模の地震が州都を襲い、数万人の住民が家を失った。
252,「気をつけろっ！天井が崩れかけてるぞ！」
253,台風は速度を上げて沿岸に接近しそうだと天気予報では言っている。
254,「試合が中止になるかどうか、まだ決まらないんだ。」 「それがどうしたの？私にとってはどうでもいいことだわ。」
255,「霧が濃いね。」 「本当ね。でも、たぶんこのあとは晴れるわ。」
256,ほとんどの場合、近代化は西欧化と同一のことと見なされる。
257,都会の文化は多くの人々の目には魅力的に映る。とりわけ、若者にとっては。
258,AIは人工知能の略です。
259,家庭用の電化製品は日に日に便利になっている。
260,私の収入は四人家族を養うには十分でないけれども、それで何とかやっていくしかない。
261,ホームページの人気は内容次第。
262,遅れずについていかなくちゃ。一度遅れをとったら追い付くのは大変だよ。
263,技術は急速に進歩するので、遅れを取らずについていくのは大変だ。
264,ますます多くの人々が、その媒体の双方向的な性質を利用しようと躍起になっている。
265,革新的なものを生み出すこと、それは変わった現象を見逃さない能力と何らかの関係がある。
266,多くの他社が我々の優れた方法を真似している。
267,かつての荒涼とした盆地が、繁栄を謳歌するハイテクビジネスの中心地に変ぼうした。
268,まだ改善の余地はたくさんあるけれども、彼の発明品はあらゆる点で従来の機器よりも優れている。
269,その会社の強さは、他社にない未来志向の戦略によって生み出されている。
270,ソニーはこのスゴイ機器に多岐にわたる機能を統合させた。全米で評判になり始めている商品だ。
271,この道具は何かと便利だから、いつも手元に置いています。
272,「一般的に、消費者は質よりも量を選びます。」 「今は全く逆です。」
273,明らかにその広告は10代の若者層をターゲットにしている。
274,現在建設中のその工場は、一日当たり1000台のビデオデッキを組立てることになる。
275,効率的な機械が、肉体労働に取って代わった。
276,当時、その巨大企業が国内の商業を事実上独占していた。
277,制限が解除され、数千の新しい企業が誕生した。
278,ばかげた新事業の結果、彼は破産の危機に瀕している。
279,昨年と比べて、売上の数字だけを見れば事業は上向いている。しかしながら、利益はまだ全く出ていない。
280,「海外の支店に転勤することになったよ。」 「えっ。寂しくなるわ。手紙でも下さいね。」
281,彼が出張中に、奥さんが男の子の赤ちゃんを出産した。
282,どうやらニックは、自分の負担が増えるからその仕事を引き受けたがらなかったようだ。
283,ボブは今夜、彼女とデートするつもりだったが、残業になってしまった。
284,「遅くとも金曜日までには損失の見積りを出して下さい。」 「何とかやってみましょう。」
285,「頼りにしてるわ、ニック。」 「大丈夫、きちんとやっておきます。」 「ありがとう。感謝するわ。」 「いいんですよ。」
286,彼は上司がそばにいる時は熱心なふりをする。
287,彼は同僚を踏み台にして出世した。恥を知るべきだ。
288,景気の後退が始まると、短期契約社員たちは次々に一時解雇を言い渡された。
289,最近では、多くの人々が職に就きたくても就けないでいる。誰の責任だろう？
290,私も悲観的になってきて、以前は決して気にならなかったことに不安を感じている。
291,今日では、サラリーマンでさえ大変な苦難に直面している。
292,当局は通貨を安定させようと懸命だが、どうにもならない。
293,日本の膨大な赤字を削減することが何よりも緊急を要することだ、という結論に我々は達した。
294,アンケート用紙が無作為に配布された。
295,以下の空欄部分にご記入いただくだけで結構です。（黒または青インクではっきりと書いて下さい）
296,10%の割引に加えて、無料のオプションツアーを一つ選択できます。
297,各目的地までの往復料金は下記の通りです。
298,「事前に予約の確認をするのを忘れないでね。」 「ええ。」
299,遅くとも出発時刻の45分前には搭乗手続きを必ず完了させて下さい。
300,自分の荷物に名札を付けたけれども、すぐに取れてしまった。
301,これらの小包の重さは平均すると2ポンドです。
302,このビニール製のゴミ袋は有害な化学物質を含んでいません。
303,この懐中電灯は明かりが弱くなってきた。電池を入れ替えないと。
304,すみません。ニューヨーク市街に行くシャトルバスはどの位の間隔で走ってますか？
305,そのモーテルは400人もの宿泊客を泊められる。
306,このスイートルームは、私の持っているマンションの3倍の広さだ。
307,この施設内でのゴミの投げ捨てには、最高500ドルの罰金が科せられることがあります。
308,あのレストランはいつでも混んでいるから、事前に予約をした方がいい。
309,「食事の邪魔をして悪いんだけど、ちょっと内密に話がしたいの。」 「後で君のところに行くよ。」
310,料理人は彼の信じられないほどの食欲にとても驚いた。
311,「下で何が起こっているの？ すごく気になるわ。」 「さあ、何だろう。」
312,興奮したファンたちが、マイケルを一目見ようと裏口に群がっていた。
313,彼らは有名人と出くわすなり、サインをねだった。
314,海外に行くと必ず、時差ボケと下痢に悩まされる。
315,「何だか目まいと吐き気がするよ。」 「顔が真っ青よ。」
316,鎮痛剤を飲めば、すぐに頭痛は治まります。
317,「何だか体調が悪いなあ。」 「一日休みを取った方がいいわよ。」
318,この飲料に含まれている成分には有害なものもある。とりわけ、妊娠中の人にとっては。
319,十分な栄養摂取は幼児の発育にとって極めて重要です。
320,適度な運動は血行をよくする。
321,当分の間は酒を控えるようにと、医者に忠告された。
322,本当に体調を良くしたいし、減量もしたいから、毎朝泳ぎに行っています。
323,昨日の夜更かしがたたって、彼はひどい風邪をひいた。
324,外科医に説得されて、彼は臓器移植手術を受けることにした。
325,父が寝たきりなので私たちが交代で面倒を見ています。
326,ジャンクフードの過剰な摂取は早死にの一因になる、というのが我々の仮説だ。
327,政府は感染の拡大を未然に防ぐための適切な措置を取らなかった。
328,その大臣は内閣からの辞任を余儀なくされた。
329,多くの人々は、現行の義務教育制度が時代遅れであると考えている。
330,大きな目標を実現するようにと、たくさんの人が私を励ましてくれた。
331,自分の夢を実現させるために、彼は学校を中退して東京を目指した。
332,「普段は何をなさっているんですか？」 「大学生です。ハーバードの1年です。」 「専攻は？」 「哲学です。」
333,2001年4月1日から授業料が10%近く値上げになります。
334,「奨学金を申し込もうかどうか悩んでいるの。」 「やるだけやってみなよ！」
335,彼は慶応大学を卒業するとすぐに家業を継いだ。
336,軍の規律は厳格だから、あなたはそっちの世界に向かないわ。
337,私はどんな犠牲を払ってでも、脚本家で食べていくと心に決めている。
338,彼も大人になって、物事を総合的な視野で見られるようになった。
339,同じような人々からなる私たちの地域社会では、体制に従おうとする意識は不可欠な要素である。
340,Trying to fit into a mold gets me nowhere! 会社のためにあくせく働くよりは、我が道を行くほうがいい。型にはまろうとしたって何の得にもならないよ！
341,トムは性格が彼のおじに似ている。つまりその、生まれつきの頑固者。彼は絶対に折れない。
342,機が熟したら、大胆に突き進むんだ！僕がいつもそばにいる。
343,自分の信念を守るためには立ち上がるし、いかなる脅威にも屈しないつもりだ。
344,「自分の弱点を克服できさえすればなあ。」 「あなた次第よ。」
345,自分の才能を示すために、めったにないこの機会を最大限に利用するべきだ。
346,僕をがっかりさせないよね。信頼しているよ。君ならうまくやれるさ！
347,観客たちは彼女の優雅な演技に感動した。
348,1995年、安藤氏は建築における最も権威ある賞を受賞した。
349,逆境をものともせず、マイクはすばらしい偉業を成し遂げた。称賛を受けるのは当然だ。
350,聴衆は彼の説得力のある講義に感銘を受けた。
351,庶民の身から、ジョンは世界的な名声を勝ち取った。
352,彼は戦後に莫大な財産を築いた。
353,彼は以前は裕福で気前もよかったけれど、今ではその日暮らしだ。
354,ニックはその報酬に満足していない。彼は自己中心的で欲が深い。
355,「全部で200ドル貸してるの、ボブ。いつ返すつもりなの？」 「ごめん、金欠なんだ。」 「またなの？」
356,ブライアンが驚いたことに、借金はかなりの額になっていた。
357,過去の栄光にしがみつくのはやめないと、取り残されるわよ。
358,今日の厳しい現実からは逃れられない以上、それに順応しなければならない。
359,繁栄は永遠に続くものではない。つまり、いつかは終わりを迎えるものだ。
360,その職種には相応の資格や能力が必要で、コンピューターが使えることは絶対条件である。
361,この封筒に履歴書も入れて人事部に提出して下さい。
362,物事がうまく行くと信じるなんて君も楽観的だね。可能性はせいぜい50%だよ。
363,登録用紙は無料で入手できます。
364,この講習会に参加をご希望の方は、今すぐお電話下さい。
365,さらにご質問がありましたら、どうぞご遠慮なくフリーダイヤル1-800-555-1212までお電話ください。
366,「ボブ、最近どう？」 「最高だよ！就職面接がうまくいったんだ。」 「やったじゃない！」
367,研修生たちは、彼から与えられた指示がさっぱりわからなかった。
368,一度に二つのことはできないよ。無理に決まってる。一つずつやりなよ。
369,「ボブ、彼女の邪魔をしちゃだめだぞ。ちょっかいを出すなよ。」と彼は小声で言った。
370,そうやってしつこく彼女を困らせると、彼女も怒り出すぞ。
371,彼はあまりに子供だから誘惑に勝てなかった。
372,「ぎゃあぎゃあ言うのはやめて。本当にいらいらするわ。」と彼女は叫んだ。
373,ニックに口答えしたって無駄だよ。言ってみりゃ彼は独裁者さ。
374,彼女たちは彼の前ではとても礼儀正しいが、実際には、いつも陰口を叩いている。
375,「ニックを軽蔑しているんだろう？」 「とんでもない！尊敬しているわ。」
376,彼の絶え間ない侮辱が、彼女の怒りをかき立てた。
377,書類の整理とかお茶くみには、ほとほとうんざり。会社を辞めることにしたわ！
378,実際、多くの人々が家計のやりくりに苦労している。月々10万円でどうしたらやっていけるだろう？
379,女性職員が自分たちの日常業務に不満を言うのももっともだ。全くやりがいの無い仕事だから。
380,抜本的に事業の再構築をおこなったおかげで、当社の黒字は3倍に膨らんだ。
381,現在の多くの人が、会社に対する忠誠はばかげた考えだと思っている。
382,僕は遠い郊外からわざわざ通勤しなければならない。もううんざりだ！
383,余生は自分の理想の追求に費やしたい。
384,現役を引退した後、テレサは孤児の世話に一身を捧げた。
385,困っている子どもたちのために、私たちは募金活動に協力した。
386,その慈善団体には、およそ20億円の寄付をした人物の名前が付けられている。
387,彼の自叙伝が今日発売され、午前中に完売した。
388,高潔な人物だと度々称されるテッドが、市長に立候補する。
389,その候補者は選挙結果に落胆した。
390,市議会は具体的な問題にもっと焦点を当てるべきだ。
391,年金生活者が厳しい生活を強いられているというのは事実です。
392,このデータは除外した方がいい。正確と言うにはほど遠いものだ。
393,私たちは政治家というと偽善を連想しがちだ。
394,彼らの一番の関心事は、私たちの生活水準を高めることではなく、私たちから搾取することだ。
395,その男はかつて保守政党に対して支配的影響力を及ぼしていたが、今では彼の力も弱まっている。
396,報道担当者は「調査中です」と言って一切のコメントを拒否した。
397,背後で糸を引いている人物がいると警察は言っている。
398,役員たちは何らかの見返りを期待して、官僚たちを料亭、すなわち、高級な日本料理店で接待した。
399,彼の秘書は機密情報をいっさい漏らしていないと明言した。
400,クビになるのが怖いから、雇用主にあえて逆らおうとする人は誰一人としていない。
401,彼は自分の尊厳を守るために、将来有望な経歴を犠牲にした。
402,自分の運命に甘んじるぐらいなら自殺した方がましだ。
403,毒物を飲んで自殺しようとした直前に彼は思いとどまった。
404,その曖昧な噂は嘘だとわかった。だがそれでも、多少の疑いはまだ残る。
405,ある政府高官が企業から賄賂を受け取った容疑をかけられている。しかし、逮捕するには証拠が不十分だ。
406,そのプロジェクトの責任者であったジェイソンが、汚職に手を染めた理由で解任された。
407,私の知る限り、彼はその詐欺の企みには関与していません。
408,関連書類の山を調べていくうちに、彼らは真実をつかんだ。
409,彼らが数十年にわたって違法取引を隠蔽していたことが、公判中に明らかになった。
410,刑事はその場で、彼の証言を一言一句正確に書き取った。
411,生まれて初めて良心の呵責を感じましたが、そうする以外にその場をしのぐ方法はありませんでした。
412,昨日の夜に見た生々しい悪夢がまだ頭から離れない。
413,概して、記者というものは個人のプライバシーを侵害することにためらいを感じない。
414,著者は何度も何度も現稿を手直しした。
